id,filename,words
1,1993_1.jpg,paglia and brand on mcluhan the medium negroponte whats wrong with hdtv bruce sterling has seen the future of war behind the inslaw scandal at justice digital sex
2,1993_5.6.jpg,jaron lanther moves on  saymour papert literacy is obsolete 3do hip or hype rebels with a cause your privacy
3,1993_7.8.jpg,branchez peter gabriel cuts the first interactive rock cdrom digital domain ibm goes hollywood the digital highway exclusive the peter drucker interview but can you still dance to it
4,1993_9.10.jpg,william gibson his latest report from the future disneyland with the isnt fiction death penalty george gilder the dark fiber interview michael crichton the real dinosaurs are the media special fiction bonus paulina borsook love over the wires
5,1993_11.jpg,sluit je aan first monthly issue is the future as shocking as it used to be alvin toffler how does a constitutional crisis in the united states the breakup of china a global revolt of the rich and niche wars with personal nuclear weapons sounds to you the wired interview
6,1993_12.jpg,segas plan for world domination now that its a 536 billon business with a firm grip on your tv
7,1994_1.jpg,microserfs by douglas coupland seven days in the life of young microsoft first anniversary issue alan kay mindmelds danny hillis forget hillary
8,1994_2.jpg,is advertising finally dead will legendary adman george i want my mtv lois upstart richard no excuses kirshenbaum
9,1994_3.jpg,john perry barlow everything you know about intellectual property is wrong muds sex with the furrymuckers you read it here first the infobahn is nothing but a pile of hype kunin suksuk laurie anderson reinvents herself again first look
10,1994_4.jpg,bruce sterling in moscow jackboots on the infobahn john perry barlow on clipper general magic unveiled
11,1994_5.jpg,ziff happens american gladiators mci vs att vrcades the state of the art here come the zippies hy ni dy
12,1994_6.jpg,the americanization of sony comdex the moronic inferno altsexbondage the super secret nsa answers clipper critics a wired exclusive spy vs nerd the eff is fighting for your rights in cyberspace just who are these guys
13,1994_7.jpg,david byrne talks and photos cracking wall street by kevin kelly bruce sterling on the nsa collegati infobahn warrior john malone on the telcocable wars  his amazing wired interview
14,1994_8.jpg,wired exclusive accidental zillionaire thee george clinton smell my sample guerrillas in the from garage startup to the first cdrom superstars millei robyn and rand myst
15,1994_9.jpg,cyberdeterrence the us army fights tomorrows war today universal service an idea whose time is past jon katz online or not newspapers still suck buy this magazine or we fry this magician penn jillette gets wired
16,1994_10.jpg,everything you wanted to know about mosaic meet the extropians neurobotics biology meets computing snowcrashs neal stephenson spew exclusives his new story absolutely nothing about oj simpson in this issue hack the spew
