id;filename;year;month;archive;words;brightness_median;brightness_stdev;saturation_median;saturation_stdev;hue_stdev;hue_median
1;1993_1.jpg;1993;January;101.0;paglia and brand on mcluhan the medium negroponte whats wrong with hdtv bruce sterling has seen the future of war behind the inslaw scandal at justice digital sex;87;75.5969;0;35.0334;30.956552719081515;2.5592097878226117
2;1993_5.6.jpg;1993;May;102.0;jaron lanther moves on  saymour papert literacy is obsolete 3do hip or hype rebels with a cause your privacy;70;55.5624;21;21.4451;51.14721959667969;264.53484632904554
3;1993_7.8.jpg;1993;July;103.0;branchez peter gabriel cuts the first interactive rock cdrom digital domain ibm goes hollywood the digital highway exclusive the peter drucker interview but can you still dance to it;96;61.744;110;39.3017;54.18817919599668;24.501406880205913
4;1993_9.10.jpg;1993;September;104.0;william gibson his latest report from the future disneyland with the isnt fiction death penalty george gilder the dark fiber interview michael crichton the real dinosaurs are the media special fiction bonus paulina borsook love over the wires;51;75.0674;74;57.298;54.283826345309336;15.15801652224169
5;1993_11.jpg;1993;November;105.0;sluit je aan first monthly issue is the future as shocking as it used to be alvin toffler how does a constitutional crisis in the united states the breakup of china a global revolt of the rich and niche wars with personal nuclear weapons sounds to you the wired interview;58;59.2324;130;55.2202;76.40447058319069;355.4011754309694
6;1993_12.jpg;1993;December;106.0;segas plan for world domination now that its a 536 billon business with a firm grip on your tv;138;78.5377;71;51.6823;65.32298377015464;339.4712816767203
7;1994_1.jpg;1994;January;201.0;microserfs by douglas coupland seven days in the life of young microsoft first anniversary issue alan kay mindmelds danny hillis forget hillary;200;86.6676;185;63.3796;58.31845857512688;279.4779729840711
8;1994_2.jpg;1994;February;202.0;is advertising finally dead will legendary adman george i want my mtv lois upstart richard no excuses kirshenbaum;204;72.9709;24;56.35;43.7185359597691;38.16591835919561
9;1994_3.jpg;1994;March;203.0;john perry barlow everything you know about intellectual property is wrong muds sex with the furrymuckers you read it here first the infobahn is nothing but a pile of hype kunin suksuk laurie anderson reinvents herself again first look;102;60.3396;51;28.4399;44.62700647713224;202.50012491048528
10;1994_4.jpg;1994;April;204.0;bruce sterling in moscow jackboots on the infobahn john perry barlow on clipper general magic unveiled;160;42.6337;80;29.6857;65.17745508693457;291.6709773019528
11;1994_5.jpg;1994;May;205.0;ziff happens american gladiators mci vs att vrcades the state of the art here come the zippies hy ni dy;210;83.6409;145;52.4932;76.80370860383881;353.67544694564157
12;1994_6.jpg;1994;June;206.0;the americanization of sony comdex the moronic inferno altsexbondage the super secret nsa answers clipper critics a wired exclusive spy vs nerd the eff is fighting for your rights in cyberspace just who are these guys;191;71.2609;145;65.0903;43.36388262304285;147.43337408734345
13;1994_7.jpg;1994;July;207.0;david byrne talks and photos cracking wall street by kevin kelly bruce sterling on the nsa collegati infobahn warrior john malone on the telcocable wars  his amazing wired interview;172;72.7169;86;72.3894;70.77722521644552;345.3045481653797
14;1994_8.jpg;1994;August;208.0;wired exclusive accidental zillionaire thee george clinton smell my sample guerrillas in the from garage startup to the first cdrom superstars millei robyn and rand myst;195;31.7805;212;43.9412;36.33424822572815;199.47345379015414
15;1994_9.jpg;1994;September;209.0;cyberdeterrence the us army fights tomorrows war today universal service an idea whose time is past jon katz online or not newspapers still suck buy this magazine or we fry this magician penn jillette gets wired;93;87.9225;98;50.6573;47.20604128048429;54.50379120437998
16;1994_10.jpg;1994;October;210.0;everything you wanted to know about mosaic meet the extropians neurobotics biology meets computing snowcrashs neal stephenson spew exclusives his new story absolutely nothing about oj simpson in this issue hack the spew;134;69.3854;115;59.7896;61.28120490259638;267.2684009835138
17;1994_11.jpg;1994;November;211.0;conspiracy of heretics joel garreau on gbn game ratings prophets of privacy steven levy on whitfield diffie rocket science the first digital supergroup videogames get hollywood;192;52.1829;154;48.9428;68.92106488984305;56.102664471508874
18;1994_12.jpg;1994;December;212.0;steven levy in digital cash the real killer app jon kats on natural born killjoy oliver stone hacker showdown a member of a rival phreaker gang called johnlee a nigger and in the hacker underground nothing was the same again;155;59.386;49;56.2975;44.29055896133745;280.5515718274769
19;1995_1.jpg;1995;January;;;214;11.451;17;2.8846;2.7049020235483505;18.780886281527945
20;1995_2.jpg;1995;February;;viruses are good for you barry diller on the new media the man who stole michael jacksons face xhumeka the cable slayer bell atlantic ceo ray smith explains why cable is dead;165;56.4638;146;52.7492;60.48043299282586;5.858766337537569
21;1995_3.jpg;1995;March;;the million mhz cpu by charles platt turner entertainment ceo why we wanted nbc workplace spying is getting worse steven brill and his court tv  delivering justice on the electronic frontier;155;70.9476;96;75.6954;59.71312730581014;338.9605101351033
22;1995_4.jpg;1995;April;;negroponte balance of trade in ideas  bell labs still best jon katz on why elvis matters bli tilknytte biondi and redstone viacom doesnt suck;197;55.0583;104;45.6991;74.89513153870033;336.42157656119747
23;1995_5.jpg;1995;May;;brian eno  gossip is philosophy the wired interview with kevin kelly peter cochrane invents bts future video surveillance welcome home big brother duckman ruder than the simpson;29;111.7858;196;79.5031;39.53264336086171;121.68819770163337
24;1995_6.jpg;1995;June;;alkupligu william gibson on the making of johnn mnemonic the curse of xanadu the amazing hacker tragedy stop exon;100;59.4381;168;69.4864;62.11218750987406;32.50990143963738
25;1995_7.jpg;1995;July;;esther dysons radical rethink of intellectual property finally handson the first interactive tv tests douglas couplands microserfs return badboy evolutionist richard dawkins selfish genes and hot memes are the new mass media;165;62.1048;94;44.0883;74.820719363503;349.87456064163075
26;1995_8.jpg;1995;August;;friends and foe the wired interview by esther dyson inventing dna supercomputers is the new times square new enough beyond the 7th guest making the 11th hour;147;57.4556;156;50.4924;42.75717789664154;189.42171344606754
27;1995_9.jpg;1995;September;;langat suoriksi guilty objectivity is obsolete jon katz on the accelerating collapse of civic life in the digital age america;88;52.2685;51;30.0243;61.167871718097445;281.8686728992389
